run_started_utc,run_finished_utc,job,status,rows_written,duration_sec,message
2026-08-28T13:55:16+00:00,2026-08-28T13:56:42+00:00,ingest_demo,SUCCESS,36288,86.1,SYNTHETIC demand - not for publication
2026-08-29T14:17:10+00:00,2026-08-29T14:17:19+00:00,transform,SUCCESS,9072,9.0,
2026-08-29T14:19:23+00:00,2026-08-29T14:19:24+00:00,transform,SUCCESS,9072,1.1,
2026-08-29T14:28:20+00:00,2026-08-29T14:28:21+00:00,build_web_data,SUCCESS,372,0.6,
2026-08-30T02:46:33+00:00,2026-08-30T02:46:34+00:00,transform,SUCCESS,9072,1.0,
2026-08-30T02:46:38+00:00,2026-08-30T02:46:39+00:00,build_web_data,SUCCESS,372,0.3,
2026-08-30T02:47:49+00:00,2026-08-30T02:47:49+00:00,transform,SUCCESS,9072,0.6,
2026-08-30T02:47:53+00:00,2026-08-30T02:47:54+00:00,build_web_data,SUCCESS,372,0.3,
2026-09-21T18:01:42+00:00,2026-09-21T18:01:58+00:00,probe,SUCCESS,83,16.2,missing=[]
2026-09-21T18:02:05+00:00,2026-09-21T18:45:42+00:00,ingest_backfill,SUCCESS,1841160,2616.4,
2026-09-21T18:45:59+00:00,2026-09-21T18:46:06+00:00,transform,SUCCESS,110016,7.7,
2026-09-21T18:46:12+00:00,2026-09-21T18:46:13+00:00,build_web_data,SUCCESS,2406,0.8,
2026-09-21T18:46:55+00:00,2026-09-21T18:47:02+00:00,transform,SUCCESS,110016,7.0,
2026-09-21T18:47:07+00:00,2026-09-21T18:47:08+00:00,build_web_data,SUCCESS,2406,0.5,
2026-09-21T20:41:13+00:00,2026-09-21T21:03:28+00:00,ingest_backfill,SUCCESS,1841184,1335.5,
2026-09-21T21:03:29+00:00,2026-09-21T21:03:34+00:00,transform,SUCCESS,110016,5.5,
2026-09-21T21:03:36+00:00,2026-09-21T21:03:36+00:00,build_web_data,SUCCESS,2406,0.2,
2026-09-22T00:02:39+00:00,2026-09-22T00:16:05+00:00,ingest_hourly,SUCCESS,28704,806.0,
2026-09-22T00:16:06+00:00,2026-09-22T00:16:11+00:00,transform,SUCCESS,110160,5.6,
2026-09-22T00:16:13+00:00,2026-09-22T00:16:14+00:00,build_web_data,SUCCESS,2400,0.3,
2026-09-22T04:44:49+00:00,2026-09-22T04:49:32+00:00,ingest_hourly,SUCCESS,28477,283.1,
2026-09-22T04:49:33+00:00,2026-09-22T04:49:38+00:00,transform,SUCCESS,110160,4.7,
2026-09-22T04:49:40+00:00,2026-09-22T04:49:40+00:00,build_web_data,SUCCESS,2400,0.3,
2026-09-22T09:52:46+00:00,2026-09-22T10:03:02+00:00,ingest_hourly,SUCCESS,28181,616.1,
2026-09-22T10:03:03+00:00,2026-09-22T10:03:08+00:00,transform,SUCCESS,110160,4.7,
2026-09-22T10:03:10+00:00,2026-09-22T10:03:10+00:00,build_web_data,SUCCESS,2406,0.3,
